hour,time_label,spot_price_dkk_kwh,co2_emission_g_kwh,gross_demand_mwh,renewable_gen_mwh,net_load_mwh,renewable_share,feeder_gross_load_kw,feeder_net_load_kw,data_source,price_area,combined_signal_score,ev_dispatch_price_only_kw,feeder_load_price_only_kw,feeder_overload_price_only_kw,ev_dispatch_co_optimized_kw,feeder_load_co_optimized_kw,feeder_overload_co_optimized_kw,user_plug_in_hour,user_departure_hour,user_energy_target_kwh,feeder_transformer_cap_kw,feeder_n_evs
10,10:00,1.1420,148.4167,2592.3014,2526.7416,65.5598,0.9747,183.4098,156.3530,LIVE_ENERGI_DATA_SERVICE_API,DK1,0.4333,0.0000,156.3530,0.0000,0.0000,156.3530,0.0000,18,7,44.0000,450.0000,20
11,11:00,1.0687,155.6667,2501.1192,1966.6136,534.5056,0.7863,171.6988,163.1637,LIVE_ENERGI_DATA_SERVICE_API,DK1,0.4922,0.0000,163.1637,0.0000,0.0000,163.1637,0.0000,18,7,44.0000,450.0000,20
12,12:00,1.0173,138.7500,2439.9659,1615.0820,824.8839,0.6619,163.8446,162.4904,LIVE_ENERGI_DATA_SERVICE_API,DK1,0.4557,0.0000,162.4904,0.0000,0.0000,162.4904,0.0000,18,7,44.0000,450.0000,20
13,13:00,0.9644,96.6667,2352.8467,1465.8779,886.9688,0.6230,152.6554,148.5769,LIVE_ENERGI_DATA_SERVICE_API,DK1,0.2991,0.0000,148.5769,0.0000,0.0000,148.5769,0.0000,18,7,44.0000,450.0000,20
14,14:00,0.9559,86.1667,2217.2685,1477.4873,739.7812,0.6664,135.2424,131.1066,LIVE_ENERGI_DATA_SERVICE_API,DK1,0.2359,0.0000,131.1066,0.0000,0.0000,131.1066,0.0000,18,7,44.0000,450.0000,20
15,15:00,0.9799,92.4167,2191.5747,1497.4453,694.1294,0.6833,131.9425,131.6660,LIVE_ENERGI_DATA_SERVICE_API,DK1,0.2624,0.0000,131.6660,0.0000,0.0000,131.6660,0.0000,18,7,44.0000,450.0000,20
16,16:00,1.0359,136.0000,2146.3965,1457.8612,688.5352,0.6792,126.1400,126.0422,LIVE_ENERGI_DATA_SERVICE_API,DK1,0.4350,0.0000,126.0422,0.0000,0.0000,126.0422,0.0000,18,7,44.0000,450.0000,20
17,17:00,1.1499,131.4167,2157.5267,1684.0261,473.5006,0.7805,127.5695,127.4600,LIVE_ENERGI_DATA_SERVICE_API,DK1,0.4501,0.0000,127.4600,0.0000,0.0000,127.4600,0.0000,18,7,44.0000,450.0000,20
18,18:00,1.3735,89.5833,2146.6862,1932.6093,214.0769,0.9003,126.1772,126.0256,LIVE_ENERGI_DATA_SERVICE_API,DK1,0.4000,0.0000,126.0256,0.0000,11.0000,346.0256,0.0000,18,7,44.0000,450.0000,20
19,19:00,1.5524,88.4167,2098.5903,2000.8671,97.7232,0.9534,120.0000,120.0000,LIVE_ENERGI_DATA_SERVICE_API,DK1,0.4797,0.0000,120.0000,0.0000,11.0000,340.0000,0.0000,18,7,44.0000,450.0000,20
20,20:00,1.5653,112.1667,2125.3128,1679.6270,445.6858,0.7903,123.4321,123.3889,LIVE_ENERGI_DATA_SERVICE_API,DK1,0.6216,0.0000,123.3889,0.0000,0.0000,123.3889,0.0000,18,7,44.0000,450.0000,20
21,21:00,1.5409,155.5833,2403.9900,1457.3210,946.6690,0.6062,159.2240,156.6095,LIVE_ENERGI_DATA_SERVICE_API,DK1,0.8312,0.0000,156.6095,0.0000,0.0000,156.6095,0.0000,18,7,44.0000,450.0000,20
22,22:00,1.4884,153.3333,2746.2498,1406.2657,1339.9842,0.5121,203.1822,186.3252,LIVE_ENERGI_DATA_SERVICE_API,DK1,0.8587,0.0000,186.3252,0.0000,0.0000,186.3252,0.0000,18,7,44.0000,450.0000,20
23,23:00,1.3946,138.5000,2976.3732,1806.3484,1170.0248,0.6069,232.7381,183.0216,LIVE_ENERGI_DATA_SERVICE_API,DK1,0.7286,0.0000,183.0216,0.0000,0.0000,183.0216,0.0000,18,7,44.0000,450.0000,20
